system_time,axis_1_position_mm
21:06:01.880059,0.099100
21:06:01.881780,0.099500
21:06:01.885640,0.100100
21:06:01.889303,0.100900
21:06:01.895868,0.101800
21:06:01.897535,0.102800
21:06:01.902755,0.104000
21:06:01.905077,0.105300
21:06:01.908852,0.106700
21:06:01.912465,0.108300
21:06:01.916264,0.110000
21:06:01.920143,0.112000
21:06:01.924083,0.114100
21:06:01.928121,0.116300
21:06:01.934325,0.118600
21:06:01.935507,0.121000
21:06:01.939248,0.123500
21:06:01.942861,0.126300
21:06:01.946684,0.128900
21:06:01.950209,0.131900
21:06:01.953884,0.134900
21:06:01.958519,0.138300
21:06:01.961342,0.141600
21:06:01.965353,0.145400
21:06:01.969022,0.149100
21:06:01.974305,0.152900
21:06:01.976652,0.156800
21:06:01.980255,0.160900
21:06:01.983869,0.165000
21:06:01.989942,0.169100
21:06:01.991056,0.173500
21:06:01.996752,0.178100
21:06:02.005842,0.182800
21:06:02.037543,0.217500
21:06:02.069649,0.267600
21:06:02.101568,0.347900
21:06:02.133700,0.405700
21:06:02.165569,0.490300
21:06:02.197765,0.636500
21:06:02.245330,0.746200
21:06:02.277177,0.866100
21:06:02.292958,0.993800
21:06:02.340354,1.180900
21:06:02.371746,1.358500
21:06:02.419640,1.524900
21:06:02.451201,1.736600
21:06:02.483211,1.881800
21:06:02.499060,2.079400
21:06:02.546529,2.348500
21:06:02.579207,2.608800
21:06:02.626330,2.853800
21:06:02.674109,3.209400
21:06:02.705971,3.571200
21:06:02.737844,3.765000
21:06:02.778026,4.150000
21:06:02.817553,4.440500
21:06:02.865177,4.898100
21:06:02.896878,5.214700
21:06:02.928771,5.521700
21:06:02.960496,5.822300
21:06:03.008745,6.251800
21:06:03.040746,6.525900
21:06:03.072229,6.806300
21:06:03.104127,7.145900
21:06:03.151785,7.407500
21:06:03.183693,7.713700
21:06:03.230763,7.956900
21:06:03.262487,8.215500
21:06:03.309451,8.435700
21:06:03.357173,8.698100
21:06:03.389879,8.941300
21:06:03.436787,9.090700
21:06:03.484451,9.294000
21:06:03.515955,9.415300
21:06:03.563318,9.579800
21:06:03.610457,9.720700
21:06:03.642105,9.817900
21:06:03.690073,9.907600
21:06:03.737348,9.989000
21:06:03.768762,10.030500
21:06:03.800584,10.066300
21:06:03.832153,10.091600
21:06:03.895149,10.098600
21:06:04.037920,10.065000
21:06:04.085594,10.033700
21:06:04.133692,9.967400
21:06:04.165681,9.906100
21:06:04.213314,9.806200
21:06:04.244991,9.724900
21:06:04.278015,9.583900
21:06:04.339805,9.419800
21:06:04.371593,9.291900
21:06:04.418837,9.097600
21:06:04.449764,8.954200
21:06:04.496478,8.720000
21:06:04.544065,8.461300
21:06:04.575677,8.181400
21:06:04.621582,7.984400
21:06:04.668846,7.666400
21:06:04.715538,7.330300
21:06:04.747692,7.089900
21:06:04.795732,6.711100
21:06:04.840602,6.298700
21:06:04.890721,5.871800
21:06:04.922202,5.535400
21:06:04.969365,5.120500
21:06:05.000824,4.805400
21:06:05.032301,4.333000
21:06:05.096444,3.851800
21:06:05.128388,3.517100
21:06:05.175935,3.052900
21:06:05.223416,2.581800
21:06:05.255440,2.263300
21:06:05.303317,1.779500
21:06:05.335062,1.462200
21:06:05.366734,0.988200
21:06:05.414492,0.674300
21:06:05.446564,0.314500
21:06:05.493734,-0.120300
21:06:05.525447,-0.441000
21:06:05.572824,-1.002600
21:06:05.604395,-1.229000
21:06:05.636070,-1.687500
21:06:05.683323,-2.021400
21:06:05.730440,-2.491900
21:06:05.762214,-2.887600
21:06:05.809427,-3.283200
21:06:05.841023,-3.596100
21:06:05.872697,-4.028700
21:06:05.904699,-4.314500
21:06:05.936226,-4.680300
21:06:05.983975,-5.022400
21:06:06.015871,-5.342100
21:06:06.047383,-5.658900
21:06:06.063306,-5.976100
21:06:06.110801,-6.395400
21:06:06.158340,-6.766200
21:06:06.189879,-7.084600
21:06:06.221532,-7.402500
21:06:06.252994,-7.717700
21:06:06.300137,-8.189000
21:06:06.331849,-8.644600
21:06:06.379095,-8.979100
21:06:06.426358,-9.450800
21:06:06.457834,-9.764800
21:06:06.505272,-10.237100
21:06:06.536923,-10.713700
21:06:06.584293,-11.031600
21:06:06.631432,-11.504000
21:06:06.663020,-11.816200
21:06:06.710276,-12.288700
21:06:06.741980,-12.605900
21:06:06.774651,-13.080000
21:06:06.821515,-13.403900
21:06:06.868871,-13.874500
21:06:06.901650,-14.350101
21:06:06.948263,-14.669600
21:06:06.979797,-14.984700
21:06:07.027711,-15.463600
21:06:07.059275,-15.890199
21:06:07.091064,-16.254300
21:06:07.154729,-16.729401
21:06:07.201825,-17.205400
21:06:07.249488,-17.680499
21:06:07.297272,-18.158900
21:06:07.328930,-18.478400
21:06:07.376137,-18.949100
21:06:07.423510,-19.421800
21:06:07.455453,-19.876500
21:06:07.502987,-20.215199
21:06:07.550247,-20.690900
21:06:07.597499,-21.163200
21:06:07.644940,-21.637801
21:06:07.676688,-22.045599
21:06:07.723855,-22.425200
21:06:07.771347,-22.898199
21:06:07.818947,-23.375900
21:06:07.866303,-23.850500
21:06:07.913953,-24.323300
21:06:07.945681,-24.643900
21:06:07.993308,-25.116400
21:06:08.040633,-25.566901
21:06:08.088443,-26.002899
21:06:08.135726,-26.409500
21:06:08.167401,-26.792599
21:06:08.214808,-27.040201
21:06:08.262490,-27.387601
21:06:08.310756,-27.714801
21:06:08.373592,-28.018799
21:06:08.436603,-28.471301
21:06:08.483781,-28.711801
21:06:08.515365,-28.861899
21:06:08.562560,-29.065701
21:06:08.609586,-29.246201
21:06:08.657384,-29.407700
21:06:08.705102,-29.546399
21:06:08.752846,-29.661099
21:06:08.800648,-29.755600
21:06:08.848294,-29.825800
21:06:08.895446,-29.872501
21:06:08.942736,-29.897299
21:06:09.149522,-29.839899
21:06:09.196423,-29.777100
21:06:09.244426,-29.689700
21:06:09.292403,-29.580399
21:06:09.340231,-29.445801
21:06:09.388823,-29.289499
21:06:09.436837,-29.109500
21:06:09.484624,-28.906000
21:06:09.532802,-28.681500
21:06:09.580745,-28.432001
21:06:09.628867,-28.162201
21:06:09.676291,-27.867200
21:06:09.724165,-27.554901
21:06:09.771967,-27.210999
21:06:09.819758,-26.854199
21:06:09.867594,-26.464001
21:06:09.915516,-26.059698
21:06:09.963037,-25.628601
21:06:10.010619,-25.176900
21:06:10.057749,-24.709399
21:06:10.090678,-24.235100
21:06:10.153176,-23.759399
21:06:10.200891,-23.276900
21:06:10.248764,-22.803799
21:06:10.296557,-22.321899
21:06:10.344378,-21.847301
21:06:10.392137,-21.364799
21:06:10.439746,-20.890100
21:06:10.487610,-20.409900
21:06:10.534901,-19.938000
21:06:10.582430,-19.461000
21:06:10.629674,-18.987801
21:06:10.677130,-18.514600
21:06:10.724243,-18.042700
21:06:10.771345,-17.569701
21:06:10.818731,-17.100000
21:06:10.866003,-16.626300
21:06:10.913823,-16.150000
21:06:10.961004,-15.675200
21:06:11.008311,-15.202699
21:06:11.055488,-14.731200
21:06:11.102771,-14.256599
21:06:11.150328,-13.784100
21:06:11.197524,-13.310001
21:06:11.244846,-12.835699
21:06:11.323410,-12.364300
21:06:11.371311,-11.573300
21:06:11.418538,-11.100200
21:06:11.466035,-10.626600
21:06:11.513330,-10.149100
21:06:11.560592,-9.681000
21:06:11.608359,-9.204000
21:06:11.655792,-8.726600
21:06:11.687517,-8.411900
21:06:11.734704,-7.939500
21:06:11.782387,-7.467600
21:06:11.829807,-6.985500
21:06:11.877212,-6.512500
21:06:11.924912,-6.040600
21:06:11.972165,-5.563600
21:06:12.019522,-5.090600
21:06:12.066656,-4.624800
21:06:12.114099,-4.176500
21:06:12.161528,-3.745200
21:06:12.208941,-3.341700
21:06:12.256406,-2.962000
21:06:12.303609,-2.602000
21:06:12.351035,-2.264800
21:06:12.398331,-1.949200
21:06:12.445632,-1.659000
21:06:12.493889,-1.386100
21:06:12.541433,-1.138100
21:06:12.589067,-0.911200
21:06:12.636834,-0.708600
21:06:12.684399,-0.528700
21:06:12.731487,-0.372400
21:06:12.779113,-0.237800
21:06:12.826738,-0.126700
21:06:12.873836,-0.036600
21:06:12.920932,0.028300
21:06:12.968029,0.073900
21:06:13.015393,0.096000
